user_id,demographic_segment,assigned_perk
23557,Elderly Single Females,Free Hotel Meal
94883,Senior Single Females,Free Checked Bag
101486,Senior Family Females,1 Night Free Hotel with Flight
101961,Middle-Aged Single Females,Free Hotel Meal
106907,Middle-Aged Family Females,Exclusive Discounts
118043,Senior Family Females,1 Night Free Hotel with Flight
120851,Senior Family Females,Free Checked Bag
125845,Middle-Aged Single Females,1 Night Free Hotel with Flight
133058,Young Adult Single Females,No Cancellation Fee
149058,Senior Family Females,1 Night Free Hotel with Flight
152583,Middle-Aged Single Females,Free Checked Bag
153982,Senior Family Females,1 Night Free Hotel with Flight
160754,Senior Family Females,Free Checked Bag
164522,Senior Single Females,Free Checked Bag
167852,Teenage Single Females,No Cancellation Fee
171470,Young Adult Single Females,Exclusive Discounts
174997,Adult Single Females,No Cancellation Fee
175032,Adult Single Females,Free Hotel Meal
181157,Senior Single Females,1 Night Free Hotel with Flight
182191,Young Adult Family Females,Free Checked Bag
187212,Senior Family Females,1 Night Free Hotel with Flight
189676,Middle-Aged Family Females,1 Night Free Hotel with Flight
190866,Middle-Aged Single Females,1 Night Free Hotel with Flight
195192,Adult Single Females,No Cancellation Fee
204943,Middle-Aged Single Males,Free Checked Bag
204997,Middle-Aged Single Females,1 Night Free Hotel with Flight
205044,Middle-Aged Family Females,1 Night Free Hotel with Flight
206011,Middle-Aged Family Females,No Cancellation Fee
216796,Young Adult Single Females,1 Night Free Hotel with Flight
217114,Young Adult Family Others,Free Checked Bag
217136,Middle-Aged Family Females,1 Night Free Hotel with Flight
220725,Middle-Aged Single Females,No Cancellation Fee
224996,Middle-Aged Family Females,No Cancellation Fee
226367,Middle-Aged Single Females,Free Checked Bag
228195,Adult Family Females,Free Checked Bag
228872,Adult Single Males,Free Hotel Meal
229009,Teenage Single Females,1 Night Free Hotel with Flight
229108,Adult Single Females,No Cancellation Fee
229330,Senior Single Females,No Cancellation Fee
232647,Teenage Single Females,1 Night Free Hotel with Flight
249521,Elderly Family Females,1 Night Free Hotel with Flight
252835,Middle-Aged Family Females,Free Checked Bag
258451,Young Adult Single Females,Free Hotel Meal
264470,Middle-Aged Family Females,1 Night Free Hotel with Flight
276512,Middle-Aged Family Females,Free Checked Bag
281952,Middle-Aged Single Females,Exclusive Discounts
283325,Senior Single Females,Free Hotel Meal
290123,Middle-Aged Single Females,1 Night Free Hotel with Flight
297546,Senior Single Females,Free Hotel Meal
298253,Senior Family Females,Free Checked Bag
299476,Middle-Aged Single Females,Exclusive Discounts
306165,Young Adult Single Females,No Cancellation Fee
306819,Elderly Family Females,No Cancellation Fee
312488,Adult Single Males,1 Night Free Hotel with Flight
313724,Senior Single Females,Free Hotel Meal
316527,Middle-Aged Family Females,1 Night Free Hotel with Flight
317688,Middle-Aged Family Females,Free Checked Bag
322867,Senior Single Females,Free Hotel Meal
324191,Middle-Aged Single Females,No Cancellation Fee
328590,Elderly Single Females,1 Night Free Hotel with Flight
330764,Middle-Aged Single Females,Free Hotel Meal
330893,Middle-Aged Family Females,Free Checked Bag
331039,Middle-Aged Family Females,1 Night Free Hotel with Flight
334787,Senior Single Females,Exclusive Discounts
337227,Adult Single Females,Free Checked Bag
338086,Middle-Aged Family Females,1 Night Free Hotel with Flight
340166,Senior Family Males,Free Hotel Meal
343928,Elderly Single Females,No Cancellation Fee
347778,Senior Single Females,1 Night Free Hotel with Flight
348817,Adult Single Females,1 Night Free Hotel with Flight
348863,Elderly Single Females,No Cancellation Fee
349132,Senior Single Females,Free Hotel Meal
350648,Teenage Single Females,No Cancellation Fee
353271,Adult Family Females,1 Night Free Hotel with Flight
353694,Middle-Aged Family Females,1 Night Free Hotel with Flight
354050,Senior Single Females,No Cancellation Fee
354260,Senior Single Females,1 Night Free Hotel with Flight
354311,Senior Single Females,1 Night Free Hotel with Flight
354950,Senior Single Males,1 Night Free Hotel with Flight
356046,Adult Single Females,No Cancellation Fee
357737,Middle-Aged Family Females,Free Hotel Meal
359072,Senior Family Females,No Cancellation Fee
359080,Middle-Aged Single Females,Free Checked Bag
359653,Senior Single Males,Exclusive Discounts
361459,Middle-Aged Family Females,Free Checked Bag
361759,Senior Single Females,Free Checked Bag
363535,Adult Single Females,Exclusive Discounts
365825,Middle-Aged Single Females,Free Hotel Meal
371201,Adult Family Males,1 Night Free Hotel with Flight
372970,Adult Single Females,1 Night Free Hotel with Flight
373489,Middle-Aged Family Females,Free Checked Bag
374331,Middle-Aged Single Males,Free Checked Bag
374340,Adult Single Females,Free Checked Bag
374341,Adult Single Females,1 Night Free Hotel with Flight
375160,Young Adult Single Females,Free Hotel Meal
375729,Senior Single Females,No Cancellation Fee
375751,Senior Single Females,No Cancellation Fee
376159,Middle-Aged Single Females,Free Hotel Meal
377069,Elderly Single Females,Free Checked Bag
377411,Middle-Aged Single Females,1 Night Free Hotel with Flight
378565,Middle-Aged Family Females,Free Hotel Meal
379543,Elderly Single Females,Free Hotel Meal
380434,Senior Family Females,Free Checked Bag
380436,Middle-Aged Single Females,Free Checked Bag
380757,Senior Family Females,No Cancellation Fee
380874,Senior Single Females,Free Checked Bag
380949,Senior Single Females,Exclusive Discounts
381259,Young Adult Family Females,1 Night Free Hotel with Flight
381465,Adult Single Females,Free Hotel Meal
382181,Middle-Aged Single Females,1 Night Free Hotel with Flight
382384,Elderly Single Females,Free Checked Bag
382533,Teenage Single Females,No Cancellation Fee
385689,Senior Family Females,Free Hotel Meal
386255,Adult Family Females,Free Hotel Meal
386469,Teenage Single Females,Free Hotel Meal
386914,Senior Family Females,No Cancellation Fee
387282,Adult Family Females,Free Hotel Meal
387783,Senior Family Males,Free Hotel Meal
388328,Senior Family Females,Free Hotel Meal
388767,Middle-Aged Family Females,Free Hotel Meal
388947,Middle-Aged Single Males,Free Checked Bag
389434,Middle-Aged Single Females,Exclusive Discounts
389662,Middle-Aged Single Females,No Cancellation Fee
389759,Adult Family Females,1 Night Free Hotel with Flight
390811,Middle-Aged Single Females,Free Checked Bag
392453,Elderly Single Females,No Cancellation Fee
395202,Adult Single Females,Free Hotel Meal
395981,Senior Single Females,1 Night Free Hotel with Flight
396552,Middle-Aged Single Females,Free Hotel Meal
399137,Senior Single Females,Free Hotel Meal
399218,Middle-Aged Family Females,No Cancellation Fee
399799,Senior Single Females,Free Hotel Meal
400275,Elderly Family Females,1 Night Free Hotel with Flight
400582,Adult Single Females,Free Hotel Meal
400899,Senior Single Females,Free Checked Bag
401245,Adult Single Females,No Cancellation Fee
402332,Adult Single Females,No Cancellation Fee
402978,Senior Single Females,Free Checked Bag
403881,Middle-Aged Single Females,1 Night Free Hotel with Flight
404879,Middle-Aged Single Females,Free Checked Bag
405305,Middle-Aged Family Females,1 Night Free Hotel with Flight
406210,Young Adult Family Females,1 Night Free Hotel with Flight
407118,Senior Single Females,No Cancellation Fee
407250,Middle-Aged Single Females,No Cancellation Fee
407275,Middle-Aged Single Females,No Cancellation Fee
407434,Senior Family Females,1 Night Free Hotel with Flight
407642,Adult Single Females,No Cancellation Fee
408551,Middle-Aged Family Females,No Cancellation Fee
409073,Middle-Aged Single Females,1 Night Free Hotel with Flight
411179,Senior Single Females,Exclusive Discounts
411701,Middle-Aged Single Females,1 Night Free Hotel with Flight
413128,Adult Single Females,Free Hotel Meal
413340,Senior Family Females,Free Checked Bag
413418,Senior Single Females,Free Checked Bag
413658,Senior Family Females,Exclusive Discounts
414128,Adult Single Females,1 Night Free Hotel with Flight
415282,Middle-Aged Family Females,1 Night Free Hotel with Flight
415381,Senior Single Females,Free Checked Bag
415581,Middle-Aged Single Females,No Cancellation Fee
416319,Senior Single Females,Free Checked Bag
416580,Middle-Aged Single Females,No Cancellation Fee
417679,Middle-Aged Single Females,1 Night Free Hotel with Flight
418329,Senior Family Males,Exclusive Discounts
418488,Middle-Aged Single Females,Free Hotel Meal
418692,Middle-Aged Single Females,1 Night Free Hotel with Flight
420648,Senior Family Females,1 Night Free Hotel with Flight
420669,Senior Family Females,1 Night Free Hotel with Flight
421247,Middle-Aged Family Females,Exclusive Discounts
421515,Adult Single Females,No Cancellation Fee
421666,Adult Family Females,Free Checked Bag
421700,Middle-Aged Family Females,No Cancellation Fee
421870,Adult Family Males,Exclusive Discounts
422066,Elderly Family Females,Free Hotel Meal
422668,Teenage Single Females,No Cancellation Fee
423042,Middle-Aged Family Females,Free Hotel Meal
423413,Teenage Single Females,Free Hotel Meal
424553,Senior Single Females,Free Hotel Meal
425632,Middle-Aged Single Females,No Cancellation Fee
425653,Young Adult Family Males,Free Hotel Meal
425953,Middle-Aged Single Females,Exclusive Discounts
425966,Elderly Single Females,1 Night Free Hotel with Flight
426478,Adult Single Females,Exclusive Discounts
427426,Middle-Aged Single Females,Free Checked Bag
427506,Senior Family Females,1 Night Free Hotel with Flight
428056,Middle-Aged Single Males,1 Night Free Hotel with Flight
428552,Middle-Aged Single Females,No Cancellation Fee
428858,Young Adult Single Females,1 Night Free Hotel with Flight
429345,Elderly Family Males,Free Hotel Meal
429375,Adult Single Females,Free Checked Bag
430722,Adult Single Males,Exclusive Discounts
431144,Senior Single Females,Free Hotel Meal
